id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9782,Loft In Williamsburg Area W/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private Room,0.16467065868263475,0.30000000000000004,0.31319554848966613,2019-06-15,1.65,3,284
9783,Back Room/Bunk Beds,32294,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private Room,0.14970059880239522,0.20000000000000004,0.43402225755166934,2019-07-01,2.37,3,359
10452,Large B&B Style Rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private Room,0.2095808383233533,0.0,0.11764705882352942,2019-05-12,0.66,2,269
10962,"Lovely Room 2 & Garden; Best Area, Legal Rental",9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private Room,0.26646706586826346,0.30000000000000004,0.2670906200317965,2019-06-21,1.41,3,340
11708,Cute Apt In Artist'S Home,44145,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire Home/Apt,0.25449101796407186,0.1,0.3672496025437202,2019-06-22,1.96,2,22
11943,Country Space In The City,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private Room,0.44910179640718567,0.0,0.0,2019-06-23,0.72,1,365
12048,Lowereastside Apt Share Shortterm 1,7549,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared Room,0.11976047904191617,0.0,0.34022257551669316,2019-07-05,1.81,4,188
12192,Enjoy Downtown Nyc!,46978,Edward,Manhattan,East Village,40.7229,-73.98199,Private Room,0.2035928143712575,0.1,0.3895071542130366,2019-06-21,2.08,2,96
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire Home/Apt,0.3592814371257485,0.20000000000000004,0.02384737678855326,2019-05-27,0.39,1,345
12303,1Bdr W Private Bath. In Lofty Apt,47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private Room,0.3592814371257485,0.6000000000000001,0.0397456279809221,2018-09-30,0.23,1,311
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private Room,0.4041916167664671,0.30000000000000004,0.12877583465818762,2019-06-16,0.69,1,273
12343,Best Bet In Harlem,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire Home/Apt,0.44910179640718567,0.6000000000000001,0.15421303656597776,2019-06-13,0.84,1,309
12937,"1 Stop Fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private Room,0.38922155688622756,0.20000000000000004,0.3942766295707472,2019-07-01,2.25,1,215
12940,Charming Brownstone 3 - Near Pratt,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire Home/Apt,0.3293413173652695,0.6000000000000001,0.09697933227344993,2019-05-25,0.52,1,265
13050,Bright And Stylish Duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire Home/Apt,0.344311377245509,0.20000000000000004,0.017488076311605726,2017-01-01,0.1,1,0
13394,Fort Greene Brownstone,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private Room,0.23952095808383234,0.20000000000000004,0.21462639109697934,2019-06-17,1.16,2,192
13808,Blue Room For 2 In Brownstone For $1350 Monthly,54275,Jt And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private Room,0.23952095808383234,0.0,0.17806041335453102,2019-06-16,1.01,3,251
14287,Cozy 1Bd On Central Park West In New York City,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire Home/Apt,0.45209580838323354,0.1,0.11605723370429254,2019-07-07,0.63,1,302
14290,* Original Brooklyn Loft *,56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire Home/Apt,0.6826347305389222,0.20000000000000004,0.13036565977742448,2019-05-17,0.7,1,140
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire Home/Apt,0.4311377245508982,0.1,0.5214626391096979,2019-06-29,2.82,1,234
14322,Beautiful Apartment In Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire Home/Apt,0.5988023952095809,0.6000000000000001,0.030206677265500796,2019-03-25,0.22,1,257
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private Room,0.3293413173652695,0.4,0.030206677265500796,2019-05-18,0.17,1,301
15220,Best Location In Nyc! Times Square!,59734,Luiz,Manhattan,Hell'S Kitchen,40.75531,-73.99293,Private Room,0.2065868263473054,0.1,0.4594594594594595,2019-06-09,2.49,2,294
15338,Room In Greenpoint Loft W/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private Room,0.14670658682634732,0.30000000000000004,0.21939586645469,2019-06-04,1.19,3,320
15385,"Very, Very Cozy Place",60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private Room,0.23952095808383234,0.1,0.06677265500794913,2019-06-30,0.38,1,263
15711,2 Bedroom - Upper East Side-Great For Kids,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire Home/Apt,0.7485029940119761,0.1,0.10492845786963435,2019-03-30,0.57,2,231
16338,Double Room W Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private Room,0.16467065868263475,0.6000000000000001,0.04292527821939587,2017-09-30,0.23,2,292
16458,Light-Filled 2B Duplex In The Heart Of Park Slope!,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire Home/Apt,0.6736526946107785,0.20000000000000004,0.006359300476947536,2017-09-24,0.16,1,0
16580,"Sunny, Modern Room In East Village!",64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private Room,0.23952095808383234,0.0,0.5373608903020668,2019-07-01,4.72,2,72
16595,*Haven Loft - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire Home/Apt,0.8233532934131736,0.0,0.23529411764705885,2019-06-23,1.4,1,362
16821,Large Room In Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private Room,0.2964071856287425,0.0,0.16852146263910972,2019-06-21,1.26,2,336
16974,Spaha Loft: Enormous And Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire Home/Apt,0.6736526946107785,0.30000000000000004,0.302066772655008,2019-06-23,1.64,1,215
17037,Lovely Ev Artist'S Home,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire Home/Apt,0.688622754491018,0.8,0.07790143084260732,2018-05-14,0.43,1,116
17092,Cool Room In Hell'S Kitchen,66243,Enzo,Manhattan,Hell'S Kitchen,40.76342,-73.98865,Private Room,0.15269461077844312,0.6000000000000001,0.03656597774244833,2019-06-01,0.43,1,88
17693,"Harlem, New York Welcomes You!!",68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private Room,0.19461077844311378,0.1,0.07790143084260732,2019-06-18,1.6,2,336
17747,Blue Trim Guest House,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private Room,0.31437125748503,0.1,0.16693163751987283,2019-06-26,0.92,1,304
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire Home/Apt,0.5688622754491018,0.4,0.033386327503974564,2019-01-02,0.2,1,224
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private Room,0.5988023952095809,0.0,0.22575516693163752,2019-07-06,1.5,1,322
18590,Fort Greene Retreat On The Park,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private Room,0.2844311377245509,0.20000000000000004,0.2273449920508744,2019-06-16,1.28,1,132
18728,Beautiful Meatpacking District Loft,71876,David And Rick,Manhattan,Chelsea,40.74138,-74.00197,Private Room,0.44910179640718567,0.20000000000000004,0.2655007949125596,2019-05-28,1.65,1,295
18764,Cozy 2 Br In Williamsburg,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private Room,0.43413173652694614,0.20000000000000004,0.09697933227344993,2019-04-22,0.54,4,238
19169,Entire 2 Bedroom - Large & Sunny,73128,Jolynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire Home/Apt,0.8532934131736527,0.4,0.11128775834658189,2019-06-30,0.62,1,328
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire Home/Apt,0.38922155688622756,0.5000000000000001,0.025437201907790145,2019-06-15,0.15,1,38
19812,2 Bedroom Williamsburg Apt - Bedford L Stop,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire Home/Apt,0.31437125748503,0.20000000000000004,0.09697933227344993,2018-08-09,0.53,1,272
20299,Oh Glorious Spring!,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Private Room,0.17964071856287425,0.20000000000000004,0.3084260731319555,2019-06-30,1.73,1,26
20300,Great Location For Nyc,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private Room,0.14970059880239522,0.0,0.003179650238473768,2016-02-14,0.05,1,0
20611,Cozy Bedroom In Williamsburg 3 Br,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private Room,0.25449101796407186,0.20000000000000004,0.27662957074721783,2019-06-22,1.54,4,288
20724,Sunny Room+Pvte Office In Huge Loft,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private Room,0.19461077844311378,0.30000000000000004,0.03815580286168522,2019-05-26,0.28,1,317
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire Home/Apt,0.3922155688622755,0.30000000000000004,0.26391096979332274,2019-06-27,3.4,1,207
20755,"Large Parlor Room, Landmark Home 1 Block To Pratt",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private Room,0.29341317365269465,0.6000000000000001,0.025437201907790145,2019-05-31,0.2,6,185
20853,2-Bed Brownstone Duplex + Garden,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire Home/Apt,0.7485029940119761,0.6000000000000001,0.033386327503974564,2019-05-21,0.3,1,158
20913,Charming 1 Bed Gr8 Wburg Location!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire Home/Apt,0.29940119760479045,0.4,0.2670906200317965,2018-07-22,1.57,1,0
21293,Sunny Apartment In Artist Home,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire Home/Apt,0.31437125748503,0.20000000000000004,0.1875993640699523,2019-06-18,1.05,2,9
21456,Light-Filled Classic Central Park,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire Home/Apt,0.4191616766467066,0.20000000000000004,0.12877583465818762,2019-07-07,0.71,1,198
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private Room,0.26646706586826346,0.0,0.001589825119236884,2018-10-09,0.11,1,365
22911,The Stuydio Modern And Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire Home/Apt,0.37425149700598803,0.6000000000000001,0.2209856915739269,2018-10-28,1.23,2,311
22918,Loft Bed - Near Transportation-15Min To Times Sq,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private Room,0.17964071856287425,0.20000000000000004,0.017488076311605726,2019-01-03,0.87,3,219
23135,House On Henry (3Rd Flr Suite),11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire Home/Apt,0.5239520958083833,0.1,0.37042925278219396,2019-06-24,2.09,3,342
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private Room,0.19461077844311378,0.1,0.10810810810810811,2012-11-01,0.6,1,312
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private Room,0.3023952095808383,0.20000000000000004,0.5325914149443561,2019-05-29,3.02,1,152
25696,"1,800 Sq Foot In Luxury Building",107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private Room,0.29940119760479045,0.1,0.2702702702702703,2019-06-23,1.61,1,346
26362,"Times Square, Safe, Clean And Cozy!",59734,Luiz,Manhattan,Hell'S Kitchen,40.75527,-73.99291,Private Room,0.17664670658682635,0.1,0.5310015898251192,2019-06-16,3.0,2,279
26520,"Cozy Room #3, Landmark Home 1 Block To Pratt",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private Room,0.37425149700598803,0.1,0.030206677265500796,2019-06-02,0.2,6,250
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire Home/Apt,0.4191616766467066,0.6000000000000001,0.01907790143084261,2017-12-11,0.13,1,164
26954,Nyc Fabulous Views Manhattan'S Eye,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire Home/Apt,0.595808383233533,0.4,0.06041335453100159,2015-12-02,0.38,1,260
26969,2 Story Family Home In Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire Home/Apt,0.9730538922155689,0.20000000000000004,0.5151033386327505,2019-06-23,3.01,1,107
27006,Comfortable Uws 2-Bd Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire Home/Apt,0.7035928143712575,0.5000000000000001,0.04292527821939587,2019-04-27,0.27,1,199
27385,Great Large 1 Br Apt  In East Village!,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire Home/Apt,0.6736526946107785,0.0,0.18282988871224168,2019-06-07,1.05,4,299
27531,Eveland Private Bed & Living Room W/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private Room,0.2964071856287425,0.1,0.562798092209857,2019-05-20,3.2,3,20
27644,Sugar Hill Rest Stop,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire Home/Apt,0.5089820359281437,0.1,0.3100158982511924,2019-07-01,2.03,1,318
27759,Apartment Next To Central Park,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire Home/Apt,0.5089820359281437,0.6000000000000001,0.020667726550079493,2019-06-26,0.12,1,224
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire Home/Apt,0.29940119760479045,0.30000000000000004,0.0397456279809221,2011-12-10,0.23,1,0
28321,Large 1  Br In A 3 Br Brooklyn Apt. Next To Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private Room,0.22455089820359284,0.1,0.014308426073131956,2018-10-05,0.08,1,324
28396,Modern Apt With Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private Room,0.2694610778443114,0.0,0.014308426073131956,2011-09-18,0.08,1,245
28907,Garden Studio In The Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire Home/Apt,0.44910179640718567,0.4,0.033386327503974564,2017-08-15,0.19,1,189
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private Room,0.2095808383233533,0.20000000000000004,0.10015898251192369,2019-05-14,0.58,2,310
29455,Accommodations Galore #1,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire Home/Apt,0.3592814371257485,0.20000000000000004,0.24642289348171703,2019-06-20,1.42,3,213
29628,Sunny Room In New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private Room,0.26646706586826346,0.20000000000000004,0.41335453100158986,2019-07-03,2.35,1,278
29683,Stylish & Sleek Apartment Near Soho!,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire Home/Apt,0.5538922155688623,0.4,0.11605723370429254,2019-06-25,0.66,1,209
30031,Nyc Artists’ Loft With Roof Deck,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private Room,0.14970059880239522,0.20000000000000004,0.30683624801271864,2019-05-20,1.86,1,0
30927,Unique & Charming Small 1Br Apt. Les,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire Home/Apt,0.31437125748503,0.20000000000000004,0.05087440381558029,2019-06-14,0.29,1,16
31130,Most Central Location!,117287,Lara,Manhattan,Hell'S Kitchen,40.76754,-73.98399,Private Room,0.38922155688622756,0.1,0.0794912559618442,2019-05-26,0.45,3,234
31902,Sanctuary In East Flatbush,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private Room,0.23053892215568864,0.1,0.003179650238473768,2019-01-01,0.02,1,178
31994,Room With En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private Room,0.22754491017964074,0.1,0.6772655007949127,2019-06-24,3.89,3,275
32023,Flat Macdonough,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire Home/Apt,0.37425149700598803,0.20000000000000004,0.3608903020667727,2019-06-23,2.09,2,163
32037,Huge Private  Floor At The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private Room,0.4041916167664671,0.30000000000000004,0.13354531001589826,2019-07-01,0.77,3,365
32289,"Sun-Drenched, Artsy Modernist 1 Bdrm Duplex",139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire Home/Apt,0.595808383233533,0.20000000000000004,0.015898251192368842,2018-06-11,0.1,1,280
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire Home/Apt,0.4191616766467066,0.1,0.006359300476947536,2016-04-24,0.04,1,0
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private Room,0.4191616766467066,0.1,0.001589825119236884,2011-09-19,0.01,1,1
32965,Flat Macdonough Garden,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire Home/Apt,0.344311377245509,0.20000000000000004,0.1971383147853736,2019-06-20,1.72,2,170
32969,Light Filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire Home/Apt,0.47904191616766467,0.20000000000000004,0.017488076311605726,2019-07-02,0.11,1,188
33009,Retreat In Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire Home/Apt,0.5838323353293413,0.30000000000000004,0.3815580286168522,2019-06-17,2.19,1,214
33014,Nyc Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire Home/Apt,0.5838323353293413,0.20000000000000004,0.04769475357710652,2019-06-17,0.28,1,248
33223,Cozy Br In Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private Room,0.23952095808383234,0.20000000000000004,0.3179650238473768,2019-06-22,1.86,4,262
34760,Sunny Room In Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private Room,0.1317365269461078,0.7000000000000001,0.04292527821939587,2019-06-29,1.05,5,280
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private Room,0.46706586826347307,0.30000000000000004,0.12559618441971385,2019-06-22,0.74,1,307
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private Room,0.37425149700598803,0.20000000000000004,0.24642289348171703,2019-06-13,1.61,1,1
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private Room,0.2065868263473054,0.1,0.05405405405405406,2017-05-29,0.32,1,10
36934,Great Location In Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire Home/Apt,0.37425149700598803,0.5000000000000001,0.04292527821939587,2018-12-27,0.25,1,189
38638,Light And Airy Upper East Side 1 Bdr Apartment,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire Home/Apt,0.655688622754491,0.30000000000000004,0.20031796502384738,2019-06-26,1.16,2,290
39267,Central Park Loft All For You,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire Home/Apt,0.2964071856287425,0.0,0.37201907790143085,2019-06-08,2.6,2,164
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private Room,0.2065868263473054,0.30000000000000004,0.32114467408585057,2019-05-28,1.86,2,53
39704,"Private, Large & Sunny 1Br W/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire Home/Apt,0.4041916167664671,0.1,0.4912559618441972,2019-06-22,2.86,2,3
40039,Luxurious Condo In Dubmo With View,171851,Henry,Brooklyn,Dumbo,40.70207,-73.98571,Private Room,0.7485029940119761,0.20000000000000004,0.022257551669316377,2011-04-25,0.13,1,189
40453,Charming & Cozy Midtown Loft Any Week Ends  !!!,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire Home/Apt,0.7485029940119761,0.20000000000000004,0.006359300476947536,2016-09-23,0.08,1,365
41348,* Spacious Garden Park Slope Duplex* 6 People Max,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire Home/Apt,0.7485029940119761,0.1,0.12718600953895073,2019-07-06,2.17,1,0
41513,Convenient Cozy Cheap Apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire Home/Apt,0.23952095808383234,0.20000000000000004,0.003179650238473768,2015-11-02,0.04,1,0
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private Room,0.2095808383233533,0.1,0.4674085850556439,2019-06-24,3.47,3,336
42729,House On Henry (2Nd Flr Suite),11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire Home/Apt,0.4940119760479042,0.1,0.2384737678855326,2019-06-18,1.4,3,342
